B.cells.naive	B.cells.memory	Plasma.cells	T.cells.CD8	T.cells.CD4.naive	T.cells.CD4.memory.resting	T.cells.CD4.memory.activated	T.cells.follicular.helper	T.cells.regulatory..Tregs.	T.cells.gamma.delta	NK.cells.resting	NK.cells.activated	Monocytes	Macrophages.M0	Macrophages.M1	Macrophages.M2	Dendritic.cells.resting	Dendritic.cells.activated	Mast.cells.resting	Mast.cells.activated	Eosinophils	Neutrophils
Sample_042	0.0233210077073787	0	0.0742373049823505	0	0	0	0	0.13828359162398	0	0.0236442543983202	0.148567593128867	0	0.378662123131364	0	0	0	0	0.0662005628036964	0	0.104982245163455	0.0421013170605888	0
Sample_043	0.0785656142142953	0	0.0721450994704626	0	0	0.103779394903483	0	0.159874372265421	0	0.052023073338253	0.12202590141247	0.0358408229954397	0.173174761407722	0.0103004597631583	0.0207582941510705	0	0	0.0481198854365078	0.023244911871213	0	0.100147408770503	0
Sample_045	0.103573539953908	0	0.0739564963990366	0.00668481125988346	0	0.148508922457385	0	0.148534552398198	0	0.0378743334912683	0.104153071152701	0.0247738211178399	0.161824559664535	0.00498213110587193	0.0256668799761099	0	0.000427761977217694	0.0444964630115194	0.0243090170332402	0	0.0902336390012851	0
Sample_047	0.107989219085164	0	0.0755786322655948	0	0	0.112715731280928	0	0.181963351507452	0	0.0320802168578576	0.112098840325726	0.0499353804557386	0.104499510210328	0	0.0118097574131445	0	0	0.0534295208925687	0.0171610339741392	0	0.140738805731359	0
Sample_054	0.0983329128461134	0	0.0856896109140121	0.0285903792322572	0	0.0676003726498779	0	0.204307199860152	0	0	0.0502962398890899	0.0407950126858224	0.183926721805298	0.00162165354985905	0.0274988693813827	0	0	0.0795314510800113	0.0291753562258293	0	0.102634219880295	0
Sample_055	0.0380844952256413	0	0.0954096604965011	0.0220713075659425	0	0	0	0.184748248188841	0	0	0.0945989023564767	0	0.348675548959932	0	0.0138881709480742	0	0	0.0678708379949298	0	0.0569195674923952	0.0777332607712662	0
Sample_057	0.0845112275930658	0	0.0758110362719832	0.145870882791771	0	0	0	0.168833672809462	0	0.00685723440088007	0.137651436709177	0	0.134260879127271	0	0.037557200986241	0	0	0.0651772558753424	0.00311106048377852	0.0413627092903959	0.0989954036606317	0
Sample_058	0.122104309404075	0	0.0817246476681477	0.00856167717930136	0	0.107619544093062	0	0.186814212733673	0	0	0.0227261733806356	0.0706547341263257	0.120586062816463	0.0158912994399696	0.0222516909763974	0	0.00578275252785941	0.0754340514984493	0.0420651689888197	0.0133587466735984	0.104424928493223	0
Sample_060	0.0706557297476051	0	0.0650771447951146	0.0418326355748997	0	0.091026649624053	0	0.127980423201533	0	0.113680783931276	0.0984524390215291	0	0.187783463678687	0.00335205653599066	0.025276061725695	0	0	0.0684727501512558	0.0324146267650205	0.000379736999884576	0.0736154982474557	0
Sample_061	0.0552297574553913	0	0.0662589052522995	0.088519603474401	0	0.00569986896750996	0	0.180498304960022	0	0.0430237783027626	0.116413650874053	0.0132007007189931	0.248710498251712	0	0.0152118499748678	0	0	0.0583894857085868	0	0.0355854024613738	0.0732581935980272	0
